pfam,feature_importance_vals
PF11258.6,0.0
PF11259.6,0.0
PF11261.6,0.0
PF11275.6,0.0
PF11262.6,0.0
PF11263.6,0.0
PF11264.6,0.0
PF11265.6,0.0
PF11266.6,0.0
PF11267.6,0.0
PF11268.6,0.0
PF11269.6,0.0
PF11270.6,0.0
PF11271.6,0.0
PF11272.6,0.0
PF11273.6,0.0
PF11274.6,0.0
PF11307.6,0.0
PF11308.6,0.0
PF11309.6,0.0
PF11355.6,0.0
PF11342.6,0.0
PF11343.6,0.0
PF11344.6,0.0
PF11345.6,0.0
PF11346.6,0.0
PF11347.6,0.0
PF11348.6,0.0
PF11349.6,0.0
PF11350.6,0.0
PF11351.6,0.0
PF11352.6,0.0
PF11353.6,0.0
PF11354.6,0.0
PF11356.6,0.0
PF11310.6,0.0
PF11357.6,0.0
PF11358.6,0.0
PF11359.6,0.0
PF11360.6,0.0
PF11361.6,0.0
PF11362.6,0.0
PF11363.6,0.0
PF11364.6,0.0
PF11365.6,0.0
PF11367.6,0.0
PF11368.6,0.0
PF11369.6,0.0
PF11371.6,0.0
PF11341.6,0.0
PF11340.6,0.0
PF11339.6,0.0
PF11338.6,0.0
PF11311.6,0.0
PF11312.6,0.0
PF11313.6,0.0
PF11314.6,0.0
PF11315.6,0.0
PF11316.6,0.0
PF11317.6,0.0
PF11318.6,0.0
PF11319.6,0.0
PF11320.6,0.0
PF11321.6,0.0
PF11322.6,0.0
PF11323.6,0.0
PF11324.6,0.0
PF11325.6,0.0
PF11326.6,0.0
PF11327.6,0.0
PF11328.6,0.0
PF11329.6,0.0
PF11330.6,0.0
PF11331.6,0.0
PF11332.6,0.0
PF11333.6,0.0
PF11334.6,0.0
PF11335.6,0.0
PF11336.6,0.0
PF11337.6,0.0
PF12011.6,0.0
PF00001.19,0.0
PF12013.6,0.0
PF12707.5,0.0
PF12694.5,0.0
PF12695.5,0.0
PF12696.5,0.0
PF12697.5,0.0
PF12698.5,0.0
PF12699.5,0.0
PF12700.5,0.0
PF12701.5,0.0
PF12702.5,0.0
PF12703.5,0.0
PF12704.5,0.0
PF12705.5,0.0
PF12706.5,0.0
PF12708.5,0.0
PF12692.5,0.0
PF12709.5,0.0
PF12710.5,0.0
PF12712.5,0.0
PF12713.5,0.0
PF12714.5,0.0
PF12715.5,0.0
PF12716.5,0.0
PF12717.5,0.0
PF12718.5,0.0
PF12719.5,0.0
PF12720.5,0.0
PF12721.5,0.0
PF12722.5,0.0
PF12693.5,0.0
PF12691.5,0.0
PF12724.5,0.0
PF12675.5,0.0
PF12661.5,0.0
PF12662.5,0.0
PF12663.5,0.0
PF12664.5,0.0
PF12666.5,0.0
PF12667.5,0.0
PF12668.5,0.0
PF12669.5,0.0
PF12670.5,0.0
PF12671.5,0.0
PF12672.5,0.0
PF12673.5,0.0
PF12674.5,0.0
PF12676.5,0.0
PF12690.5,0.0
PF12677.5,0.0
PF12678.5,0.0
PF12679.5,0.0
PF12680.5,0.0
PF12681.5,0.0
PF12682.5,0.0
PF12683.5,0.0
PF12684.5,0.0
PF12685.5,0.0
PF12686.5,0.0
PF12687.5,0.0
PF12688.5,0.0
PF12689.5,0.0
PF12723.5,0.0
PF12725.5,0.0
PF12014.6,0.0
PF12774.5,0.0
PF12760.5,0.0
PF12761.5,0.0
PF12762.5,0.0
PF12763.5,0.0
PF12764.5,0.0
PF12765.5,0.0
PF12766.5,0.0
PF12767.5,0.0
PF12768.5,0.0
PF12770.5,0.0
PF12771.5,0.0
PF12772.5,0.0
PF12773.5,0.0
PF12775.5,0.0
PF12758.5,0.0
